Sex;Age;Borrowing or returning of physical books, newspapers or magazines;Borrowing or returning DVDs, console games or CDs;Childrens activities;Lecture, lesson, course or concert;Reading, studying or meeting others;Finding information or inspiration for reading;Help with research, help with IT or similar;Printing and scanning;Other purposes
Sex, total;Age, total;30;2;2;6;23;6;4;9;8
Sex, total;16-24 years;32;3;12;4;20;11;3;13;12
Sex, total;25-34 years;37;1;26;5;5;9;1;8;6
Sex, total;35-44 years;36;2;8;5;3;9;1;6;8
Sex, total;45-54 years;25;1;6;4;2;7;0;3;5
Sex, total;55-64 years;32;2;6;7;5;9;2;2;7
Sex, total;65-74 years;35;3;1;6;5;8;4;3;5
Sex, total;75 years and over;;;;;;;;;
Men;Age, total;22;2;0;7;17;4;3;8;10
Men;16-24 years;22;3;12;6;18;9;3;13;11
Men;25-34 years;26;2;25;3;4;8;2;8;8
Men;35-44 years;31;2;8;3;2;6;2;6;8
Men;45-54 years;19;1;2;4;2;5;0;3;6
Men;55-64 years;27;3;2;6;5;8;2;3;8
Men;65-74 years;31;4;0;7;4;10;7;2;5
Men;75 years and over;;;;;;;;;
Women;Age, total;39;2;4;4;30;9;5;10;7
Women;16-24 years;42;3;13;3;22;12;2;14;14
Women;25-34 years;49;1;27;7;6;11;0;7;4
Women;35-44 years;40;1;8;6;3;11;0;6;7
Women;45-54 years;30;2;9;5;2;9;0;2;5
Women;55-64 years;36;2;9;8;4;10;3;1;6
Women;65-74 years;39;2;1;6;5;6;2;3;6
Women;75 years and over;;;;;;;;;
