Sex;Age;Sport and exercise;Recreation and hobbies;Social work;Schools and daycare;Culture;Housing association;Local community;Health;Trade union;Ideological or political organisation;Natur or environment;Other areas of work
Sex, total;Age, total;14;13;7;7;7;1;6;2;0;3;2;8
Sex, total;16-24 years;7;9;7;4;5;5;8;3;1;3;3;6
Sex, total;25-34 years;19;14;7;10;5;4;12;3;1;3;6;6
Sex, total;35-44 years;17;11;6;8;6;5;8;2;2;3;2;6
Sex, total;45-54 years;11;8;7;1;7;6;10;3;1;2;3;9
Sex, total;55-64 years;10;9;10;1;6;9;14;4;1;2;4;8
Sex, total;65-74 years;10;7;16;1;10;8;10;4;1;2;1;9
Sex, total;75 years and over;;;;;;;;;;;;
Men;Age, total;12;16;3;5;5;2;8;1;0;1;3;9
Men;16-24 years;7;9;3;3;2;6;7;2;1;3;3;8
Men;25-34 years;21;19;7;6;6;4;14;3;1;3;7;7
Men;35-44 years;22;13;5;8;7;7;8;1;2;3;3;7
Men;45-54 years;14;11;5;0;6;6;8;2;2;2;3;10
Men;55-64 years;11;13;10;0;7;10;15;2;2;3;4;7
Men;65-74 years;14;12;8;0;12;11;9;6;3;4;2;11
Men;75 years and over;;;;;;;;;;;;
Women;Age, total;16;11;11;9;9;1;3;3;0;4;2;7
Women;16-24 years;6;9;10;6;7;4;9;3;1;3;3;4
Women;25-34 years;17;9;7;14;4;4;10;2;2;2;4;5
Women;35-44 years;13;10;7;9;5;4;8;3;3;2;1;6
Women;45-54 years;8;6;9;1;8;6;12;3;1;3;2;7
Women;55-64 years;8;5;10;2;6;8;13;5;1;2;4;8
Women;65-74 years;6;3;22;1;8;7;11;4;0;1;1;8
Women;75 years and over;;;;;;;;;;;;
