Sex;Age;Association for patients or relations of patients;Nature or environment related interest group;Political party or association;Sport or exercise association;Charitable or humanitarian association, or social club;Cultural association;Trade union, professional association or trade association;Recreational or hobby association;Housing or civic association;Other type of association
Sex, total;Age, total;1;3;2;24;9;2;17;12;4;3
Sex, total;16-24 years;4;7;2;19;11;4;51;10;14;6
Sex, total;25-34 years;4;9;2;29;12;5;47;14;13;10
Sex, total;35-44 years;7;7;3;27;12;7;50;12;15;8
Sex, total;45-54 years;9;8;4;23;17;11;48;12;17;13
Sex, total;55-64 years;10;10;5;28;18;13;22;13;23;16
Sex, total;65-74 years;12;8;8;24;22;20;14;14;21;18
Sex, total;75 years and over;;;;;;;;;;
Men;Age, total;0;4;2;25;6;2;16;14;4;4
Men;16-24 years;3;8;2;19;9;2;47;11;11;8
Men;25-34 years;1;9;2;33;8;6;42;20;13;10
Men;35-44 years;5;8;4;31;11;7;50;12;14;9
Men;45-54 years;5;7;4;27;11;9;48;13;16;13
Men;55-64 years;7;10;7;26;16;12;22;16;21;17
Men;65-74 years;10;10;9;27;18;18;14;15;23;17
Men;75 years and over;;;;;;;;;;
Women;Age, total;2;1;3;23;12;1;18;9;4;2
Women;16-24 years;5;6;2;19;14;6;54;9;17;3
Women;25-34 years;8;9;2;24;16;4;53;8;14;9
Women;35-44 years;8;7;3;23;13;7;51;12;16;8
Women;45-54 years;13;8;4;19;23;12;48;10;19;14
Women;55-64 years;13;10;3;30;20;15;22;11;24;16
Women;65-74 years;13;6;7;22;25;21;13;13;20;19
Women;75 years and over;;;;;;;;;;
