Sex;Age;Subscription services;Digital purchase or renting;Digital loan or free services;Purchase of physical book or CDs;Loan from a library;Borrowing from family, friends or acquaintances;Receiving as a present;Book swaps;Other means
Sex, total;Age, total;16;5;22;37;25;31;30;5;10
Sex, total;16-24 years;18;10;19;38;28;29;26;5;6
Sex, total;25-34 years;24;10;22;30;35;26;23;6;5
Sex, total;35-44 years;23;7;21;38;34;28;27;7;5
Sex, total;45-54 years;18;4;15;40;25;24;23;7;6
Sex, total;55-64 years;12;3;14;32;31;25;20;8;6
Sex, total;65-74 years;5;2;9;34;32;29;26;12;6
Sex, total;75 years and over;;;;;;;;;
Men;Age, total;..;..;..;..;..;..;..;..;..
Men;16-24 years;15;15;19;33;24;27;26;5;7
Men;25-34 years;18;13;20;24;23;24;17;6;5
Men;35-44 years;18;9;18;35;28;27;28;5;7
Men;45-54 years;12;4;12;34;16;16;18;3;7
Men;55-64 years;8;2;12;27;21;17;19;4;9
Men;65-74 years;2;1;6;29;20;21;23;10;4
Men;75 years and over;;;;;;;;;
Women;Age, total;20;10;35;51;39;38;43;8;6
Women;16-24 years;20;5;20;44;33;31;27;5;5
Women;25-34 years;29;8;24;36;45;28;27;7;5
Women;35-44 years;28;5;25;41;41;28;27;9;4
Women;45-54 years;23;4;18;45;32;31;28;11;5
Women;55-64 years;15;3;15;35;39;32;21;11;4
Women;65-74 years;7;3;12;38;43;35;28;13;7
Women;75 years and over;;;;;;;;;
