Sex;Age;Classical music;Jazz;Rock;Pop;Hip hop;Folk music and ballads;Dansktop;Electronic music;Soul, R&B, blues or funk;Childrens music;Other genres
Sex, total;Age, total;20;21;36;80;60;10;34;31;39;4;36
Sex, total;16-24 years;24;22;56;78;41;16;24;41;36;21;38
Sex, total;25-34 years;22;17;61;73;31;13;15;34;32;29;24
Sex, total;35-44 years;25;18;71;82;17;12;15;23;36;6;25
Sex, total;45-54 years;26;19;67;80;6;18;24;16;38;8;14
Sex, total;55-64 years;35;15;57;63;2;33;24;5;29;5;16
Sex, total;65-74 years;48;27;18;38;0;37;29;2;12;1;17
Sex, total;75 years and over;;;;;;;;;;;
Men;Age, total;22;24;39;73;65;10;31;38;36;3;33
Men;16-24 years;27;25;72;65;55;18;16;62;33;12;42
Men;25-34 years;26;21;72;66;39;16;13;47;35;26;25
Men;35-44 years;24;20;78;76;22;12;15;31;35;4;29
Men;45-54 years;23;16;74;78;7;16;23;25;34;1;15
Men;55-64 years;29;15;64;61;1;34;26;9;30;2;15
Men;65-74 years;44;24;20;41;0;39;31;2;13;0;16
Men;75 years and over;;;;;;;;;;;
Women;Age, total;17;19;33;89;54;9;37;23;43;6;40
Women;16-24 years;22;19;42;88;30;15;31;24;38;29;34
Women;25-34 years;18;13;51;79;25;11;17;23;30;32;23
Women;35-44 years;26;17;63;88;10;11;15;15;36;8;20
Women;45-54 years;29;21;60;82;5;20;25;6;42;15;13
Women;55-64 years;39;15;51;65;2;33;23;3;29;7;17
Women;65-74 years;50;30;17;36;0;35;26;2;11;1;17
Women;75 years and over;;;;;;;;;;;
