Sex;Age;Plays an instrument;Sings in a choir;Sings in a band or ensemble;Sings as a soloist or lead singer;Writes or composes music;Creates or produces musik e.g. on a computer or similar;Raps;DJs;Writes texts;Other performance
Sex, total;Age, total;23;6;5;6;4;6;5;2;4;23
Sex, total;16-24 years;19;8;3;8;3;2;2;1;4;27
Sex, total;25-34 years;13;3;1;4;1;1;1;2;2;30
Sex, total;35-44 years;9;4;1;2;2;2;0;1;1;27
Sex, total;45-54 years;9;6;1;3;1;1;0;0;2;28
Sex, total;55-64 years;8;8;1;1;1;1;0;0;1;28
Sex, total;65-74 years;9;8;1;1;1;0;0;0;1;27
Sex, total;75 years and over;;;;;;;;;;
Men;Age, total;26;3;5;7;7;9;6;4;4;16
Men;16-24 years;25;4;5;7;6;4;3;1;5;20
Men;25-34 years;18;1;1;4;2;3;2;3;2;23
Men;35-44 years;13;2;2;3;4;3;0;1;1;18
Men;45-54 years;13;4;1;2;1;1;1;1;2;16
Men;55-64 years;11;5;1;2;1;1;0;0;1;20
Men;65-74 years;10;5;2;1;0;1;0;1;1;22
Men;75 years and over;;;;;;;;;;
Women;Age, total;19;10;5;5;1;2;2;1;5;30
Women;16-24 years;14;12;2;10;0;1;1;0;3;34
Women;25-34 years;10;5;1;4;0;0;0;0;1;37
Women;35-44 years;4;6;1;1;0;0;0;0;1;37
Women;45-54 years;6;8;0;3;0;0;0;0;2;39
Women;55-64 years;6;11;1;1;0;0;0;1;0;35
Women;65-74 years;8;10;0;1;1;0;0;0;2;33
Women;75 years and over;;;;;;;;;;
