Sex;Age;In an association or club;In a commercial gym or fitness centre;In a public exercise class or training centre;In centres or sport venues, where you reserve facilities on case-by-case basis;At work or in educational institution;At a night school;Other places outside the home;At home;At home via an online platform;During transport;Other places
Sex, total;Age, total;36;40;12;20;31;0;30;44;17;21;7
Sex, total;16-24 years;28;39;9;19;19;0;36;45;17;23;6
Sex, total;25-34 years;31;26;13;11;13;1;34;41;11;13;7
Sex, total;35-44 years;31;30;7;10;14;1;36;35;9;13;7
Sex, total;45-54 years;29;23;9;6;10;1;33;38;6;11;7
Sex, total;55-64 years;35;22;16;4;2;2;27;35;3;6;7
Sex, total;65-74 years;32;16;22;4;0;1;20;32;3;4;5
Sex, total;75 years and over;;;;;;;;;;;
Men;Age, total;37;41;13;23;32;1;31;44;7;18;9
Men;16-24 years;33;37;12;19;25;0;31;45;5;19;5
Men;25-34 years;38;28;13;16;14;0;39;36;4;13;7
Men;35-44 years;34;27;7;11;16;0;39;32;4;11;4
Men;45-54 years;30;22;9;9;12;0;33;33;2;13;7
Men;55-64 years;32;21;10;4;3;2;29;33;2;6;6
Men;65-74 years;34;17;22;5;0;1;20;28;0;6;5
Men;75 years and over;;;;;;;;;;;
Women;Age, total;35;39;10;16;30;0;29;44;28;25;5
Women;16-24 years;24;42;7;18;13;1;41;45;29;27;6
Women;25-34 years;23;23;12;6;11;1;29;46;20;14;6
Women;35-44 years;28;34;7;9;11;3;33;37;13;15;10
Women;45-54 years;27;25;8;4;9;2;34;44;10;9;8
Women;55-64 years;38;23;21;4;2;2;25;37;4;7;8
Women;65-74 years;31;16;23;3;0;2;19;35;5;2;5
Women;75 years and over;;;;;;;;;;;
