Sex;Age;Badminton;Table tennis;Bicycling;Dance;Weight training or general fitness exercise;Football;Golf;Gymnastics;Team ball games;Running;Rollerblade or street activities;Swimming;Tennis, padel tennis or squash;Hiking or walking;Watersport;Yoga;Other types of sport or exercise
Sex, total;Age, total;8;4;24;11;59;17;3;6;8;39;1;10;15;40;4;14;18
Sex, total;16-24 years;7;3;34;9;54;12;3;4;4;45;1;19;14;43;4;19;17
Sex, total;25-34 years;7;2;28;7;40;14;3;4;2;33;3;16;10;38;3;16;22
Sex, total;35-44 years;7;3;26;5;41;6;5;5;3;26;1;12;10;43;4;13;18
Sex, total;45-54 years;4;2;28;5;37;3;7;8;1;19;0;10;5;51;3;11;13
Sex, total;55-64 years;5;1;30;4;32;2;6;20;1;5;0;11;4;53;3;9;12
Sex, total;65-74 years;2;2;20;4;27;1;6;28;1;3;0;11;1;50;3;6;12
Sex, total;75 years and over;;;;;;;;;;;;;;;;;
Men;Age, total;7;5;20;3;57;27;5;1;6;32;1;6;15;33;3;5;22
Men;16-24 years;9;5;33;1;57;21;5;4;4;47;1;17;15;34;2;6;20
Men;25-34 years;11;2;32;3;39;25;4;4;3;37;4;14;14;34;4;7;25
Men;35-44 years;8;4;32;1;38;12;6;3;4;28;0;11;13;37;5;3;17
Men;45-54 years;5;3;35;1;35;5;9;4;2;22;0;10;8;43;3;5;10
Men;55-64 years;7;2;34;2;29;4;8;10;1;7;0;8;5;46;2;2;13
Men;65-74 years;3;3;30;3;26;2;11;14;3;4;0;9;1;44;3;1;14
Men;75 years and over;;;;;;;;;;;;;;;;;
Women;Age, total;9;2;27;19;60;6;0;12;11;46;0;15;15;47;5;24;14
Women;16-24 years;5;1;36;17;51;4;2;4;4;42;2;20;13;52;6;31;15
Women;25-34 years;2;1;23;12;42;2;2;3;2;29;3;18;6;42;3;27;19
Women;35-44 years;5;1;21;9;44;0;3;7;2;24;1;12;7;48;4;22;19
Women;45-54 years;2;1;21;9;38;1;5;12;1;16;0;10;3;59;2;17;16
Women;55-64 years;3;1;25;6;35;0;5;29;1;4;0;13;3;59;3;14;12
Women;65-74 years;2;1;12;5;28;0;3;39;0;1;0;13;1;55;3;10;10
Women;75 years and over;;;;;;;;;;;;;;;;;
