Sex;Age;Historical museum;Art museum;Natural history museum
Sex, total;Age, total;45;46;29
Sex, total;16-24 years;40;44;30
Sex, total;25-34 years;44;37;33
Sex, total;35-44 years;42;38;27
Sex, total;45-54 years;36;35;25
Sex, total;55-64 years;44;39;28
Sex, total;65-74 years;39;40;20
Sex, total;75 years and over;;;
Men;Age, total;41;37;25
Men;16-24 years;38;41;28
Men;25-34 years;47;41;39
Men;35-44 years;42;38;30
Men;45-54 years;36;33;25
Men;55-64 years;45;33;31
Men;65-74 years;38;35;19
Men;75 years and over;;;
Women;Age, total;50;57;33
Women;16-24 years;42;48;31
Women;25-34 years;42;33;28
Women;35-44 years;42;39;24
Women;45-54 years;36;37;25
Women;55-64 years;43;43;25
Women;65-74 years;39;45;20
Women;75 years and over;;;
