Sex;Age;TV, pc, tablet or smartphone;Printed newspaper;Social media;Online newspapers or news apps;Radio;Podcast;Through friends, acquaintances or family;From influencers or blogs;Other means
Sex, total;Age, total;67;8;76;62;23;19;55;16;2
Sex, total;16-24 years;66;9;71;62;39;27;33;5;4
Sex, total;25-34 years;71;16;52;64;43;19;17;4;1
Sex, total;35-44 years;79;21;47;65;60;20;14;2;3
Sex, total;45-54 years;89;25;38;55;57;11;11;1;2
Sex, total;55-64 years;88;34;27;48;52;6;8;1;2
Sex, total;65-74 years;87;45;19;32;53;2;7;1;1
Sex, total;75 years and over;;;;;;;;;
Men;Age, total;67;6;77;59;19;20;47;12;2
Men;16-24 years;73;8;71;62;44;26;31;5;5
Men;25-34 years;75;16;49;66;44;22;13;2;2
Men;35-44 years;79;23;42;71;63;20;11;1;3
Men;45-54 years;90;26;34;59;62;12;7;0;2
Men;55-64 years;88;35;22;51;56;6;8;1;1
Men;65-74 years;88;44;19;39;52;2;5;0;1
Men;75 years and over;;;;;;;;;
Women;Age, total;67;10;76;64;27;18;64;19;2
Women;16-24 years;58;11;70;62;34;27;35;5;2
Women;25-34 years;67;15;55;61;41;16;21;5;0
Women;35-44 years;78;18;52;59;57;20;18;3;2
Women;45-54 years;89;24;42;50;52;11;15;1;1
Women;55-64 years;89;34;32;45;48;6;9;1;2
Women;65-74 years;86;46;18;26;54;3;8;1;2
Women;75 years and over;;;;;;;;;
