Sex;Age;Online newspaper subscription;Combination online and printed newspaper subscription;International online or printed newspaper subscription;Paid news podcast subscription;Free news podcast;Free online newspaper or news app;Free international printed newspaper or free international news articles on the internet;Through friends, acquaintances or family;Through employer or educational institution;Purchase of newspaper in single copy;Other means
Sex, total;Age, total;4;2;1;2;20;51;13;37;21;1;3
Sex, total;16-24 years;9;4;3;4;31;61;17;20;17;1;5
Sex, total;25-34 years;10;5;3;3;23;58;9;12;14;2;7
Sex, total;35-44 years;13;9;3;2;24;61;11;10;16;3;8
Sex, total;45-54 years;13;13;2;1;18;54;10;8;13;4;10
Sex, total;55-64 years;17;24;2;2;13;45;6;6;1;5;13
Sex, total;65-74 years;13;35;2;1;11;32;5;8;1;6;10
Sex, total;75 years and over;;;;;;;;;;;
Men;Age, total;6;3;1;1;21;45;13;34;24;1;4
Men;16-24 years;10;5;5;4;32;60;22;20;21;0;5
Men;25-34 years;12;6;4;6;28;60;10;11;16;2;8
Men;35-44 years;18;12;5;1;26;62;13;7;18;3;7
Men;45-54 years;15;14;2;2;19;60;12;6;13;4;10
Men;55-64 years;20;25;2;2;14;49;7;6;1;4;13
Men;65-74 years;15;35;1;2;14;37;5;9;1;6;8
Men;75 years and over;;;;;;;;;;;
Women;Age, total;2;2;2;2;20;57;13;39;18;0;2
Women;16-24 years;7;3;1;4;29;61;11;19;13;2;4
Women;25-34 years;7;4;2;1;18;56;7;13;13;2;5
Women;35-44 years;7;6;1;2;23;59;8;13;13;3;9
Women;45-54 years;12;12;1;0;17;48;7;10;13;5;10
Women;55-64 years;15;23;2;2;12;41;5;5;1;5;13
Women;65-74 years;12;36;3;1;9;27;6;7;1;6;12
Women;75 years and over;;;;;;;;;;;
