Sex;Age;Theatre play;Musical or theatre concert;Opera or operetta;Ballet or other stage dance;Stand-up;Revue or cabaret;Childrens theatre, toy theatre or animation theatre;Contemporary circus, performance or street theatre;School play or amateur theatre;Other genres
Sex, total;Age, total;23;21;8;8;27;7;1;3;12;3
Sex, total;16-24 years;27;25;4;9;34;7;5;4;4;4
Sex, total;25-34 years;20;22;5;5;27;5;12;5;12;5
Sex, total;35-44 years;25;25;7;8;28;10;4;5;10;6
Sex, total;45-54 years;21;26;7;5;18;15;4;4;3;6
Sex, total;55-64 years;22;20;8;5;9;20;4;4;4;6
Sex, total;65-74 years;25;19;16;9;4;20;1;2;5;7
Sex, total;75 years and over;;;;;;;;;;
Men;Age, total;18;15;8;5;24;6;0;3;5;4
Men;16-24 years;21;20;3;5;30;5;2;3;1;4
Men;25-34 years;20;19;5;5;27;4;9;7;8;5
Men;35-44 years;22;20;6;6;28;8;3;6;10;6
Men;45-54 years;16;21;6;3;19;13;2;4;3;6
Men;55-64 years;18;17;6;2;9;19;2;3;2;5
Men;65-74 years;24;12;14;5;5;18;0;2;6;8
Men;75 years and over;;;;;;;;;;
Women;Age, total;30;28;7;11;30;8;3;3;20;2
Women;16-24 years;31;30;4;13;38;8;8;4;6;4
Women;25-34 years;20;25;4;6;28;6;14;3;16;6
Women;35-44 years;28;32;7;9;28;13;4;5;9;5
Women;45-54 years;25;32;8;7;18;17;6;5;3;6
Women;55-64 years;26;23;10;7;9;21;4;4;7;6
Women;65-74 years;27;25;18;12;4;22;2;3;5;5
Women;75 years and over;;;;;;;;;;
