Sex;Age;Use of digital games as an e-sport in a club or association by time, age and sex
Sex, total;Age, total;1
Sex, total;16-24 years;2
Sex, total;25-34 years;2
Sex, total;35-44 years;1
Sex, total;45-54 years;0
Sex, total;55-64 years;0
Sex, total;65-74 years;0
Sex, total;75 years and over;0
Men;Age, total;1
Men;16-24 years;2
Men;25-34 years;3
Men;35-44 years;2
Men;45-54 years;0
Men;55-64 years;0
Men;65-74 years;0
Men;75 years and over;0
Women;Age, total;0
Women;16-24 years;1
Women;25-34 years;0
Women;35-44 years;0
Women;45-54 years;0
Women;55-64 years;0
Women;65-74 years;0
Women;75 years and over;0
