Sex;Age;Partner or spouse;Parent or grandparent;Children in the household;Grandchildren or great grandchildren;Other family members;Friends I knew before and meet with in person;Friends I know only through online games;Friends I have come to know by playing online games but now also meet with in person;People I dont know;Others
Sex, total;Age, total;14;6;4;0;16;66;19;12;14;2
Sex, total;16-24 years;19;3;5;0;16;41;15;7;15;2
Sex, total;25-34 years;13;1;25;0;9;22;7;4;13;0
Sex, total;35-44 years;8;2;16;0;7;11;3;1;7;1
Sex, total;45-54 years;5;0;1;2;4;7;4;1;5;0
Sex, total;55-64 years;3;0;0;3;4;7;1;0;2;0
Sex, total;65-74 years;2;0;0;2;4;6;1;0;1;2
Sex, total;75 years and over;;;;;;;;;;
Men;Age, total;8;5;1;0;18;87;29;17;22;2
Men;16-24 years;16;2;2;0;19;66;25;12;23;4
Men;25-34 years;13;2;28;0;12;34;11;6;20;0
Men;35-44 years;10;1;20;0;7;14;4;2;8;1
Men;45-54 years;5;0;1;3;3;4;4;1;5;0
Men;55-64 years;3;0;1;2;2;3;0;0;2;0
Men;65-74 years;3;0;0;0;2;2;1;0;1;3
Men;75 years and over;;;;;;;;;;
Women;Age, total;22;6;7;0;14;43;8;6;6;2
Women;16-24 years;21;4;7;0;13;16;4;1;6;1
Women;25-34 years;13;1;21;0;6;8;3;2;6;1
Women;35-44 years;5;2;12;0;6;9;3;1;7;1
Women;45-54 years;4;0;2;2;5;10;3;0;5;0
Women;55-64 years;3;0;0;4;6;11;2;0;2;0
Women;65-74 years;1;0;0;3;6;11;0;0;0;1
Women;75 years and over;;;;;;;;;;
