Sex;Age;Use of live digital game events by time, age and sex
Sex, total;Age, total;2
Sex, total;16-24 years;4
Sex, total;25-34 years;4
Sex, total;35-44 years;4
Sex, total;45-54 years;2
Sex, total;55-64 years;0
Sex, total;65-74 years;1
Sex, total;75 years and over;0
Men;Age, total;3
Men;16-24 years;7
Men;25-34 years;7
Men;35-44 years;7
Men;45-54 years;2
Men;55-64 years;0
Men;65-74 years;0
Men;75 years and over;0
Women;Age, total;1
Women;16-24 years;0
Women;25-34 years;1
Women;35-44 years;1
Women;45-54 years;2
Women;55-64 years;0
Women;65-74 years;1
Women;75 years and over;0
