Dataset name;Short description;Question/prompt asked;Multiple answers?;
KV2AHOV;Use of cultural activities (year) by time, sex, age and cultural activity;How often have you engaged in the following activities within the past 12 months? Regardless of type, location and when. Pct of the population who have engaged in the activity at least once;NA;
KV2AI2;Use of artificial intelligence by time, sex, age and purpose;In which situations do you typically use artificial intelligence, generative AI or language models as a tool?;Yes;
KV2BIB1;Most recent visit to the library by time, sex, age and purpose;What was the purpose of your last library visit?;Yes;
KV2BIB2;Use of online library services by time, sex, age and service;Which online library services have you used within the past 12 months?;Yes;
KV2BK2;Consumption of visual art by time, sex, age and type of art;Which types of visual art have you sought out within the past 12 months?;Yes;
KV2BRN1;Cultural habits in the childhood home by time, sex, age, cultural habit and extent;The following questions concern your habits in your home, when you were a child - think of your childhood in general;NA;
KV2FOR1;Visits to theme parks, zoos, etc., by time, sex, age and location;Have you visited some of the following places within the past 12 months?;Yes;
KV2FR2;Voluntary work by time, sex, age and area of work;In which fields have you engaged in volunteer or association work within the past 12 months?;Yes;
KV2FR3;Association membership by time, sex, age and type of association;Which of these types of associations are you a member of?;Yes;
KV2FR4;Consumption of recreational events by time, sex, age and event;Have you participated in some of these activities within the past 12 months?;Yes;
KV2FS3;Consumption of films and series by time, sex, age and access;How do you gain access to films and series?;Yes;
KV2LIT2;Consumption of literature by time, sex, age and format;How do you read or listen to fiction literature?;Yes;
KV2LIT3;Consumption of literature by time, sex, age and access;How do you get access to fiction literature?;Yes;
KV2MK2;Consumption of music by time, sex, age and location;Where have you listened to music within the past 12 months?;Yes;
KV2MK3;Consumption of music by time, sex, age and genra;Which genres of music do you listen to regularly?;Yes;
KV2MKS2;Performance of music by time, sex, age and manner;When you yourself play music, sing or create music, what do you do?;Yes;
KV2MO1;Consumption of sport and exercise by time, sex, age and location;Where have you engaged in sport or exercised within the past 12 months?;Yes;
KV2MO3;Consumption of sport and exercise by time, sex, age and type of sport or exercise;Which types of sport and exercise do you engage?;Yes;
KV2MUS1;Museum visits by time, sex, age and category;How often have you visited the following types of museums within the past 12 months? Regardless of type, location and when;NA;
KV2NYH1;Consumption of news by time, sex, age and access;How do you get access to the news?;Yes;
KV2NYH2;Consumption of written media and news podcasts by time, sex, age and access;How do you get access to print newspapers, online newspapers, news apps or news podcasts?;Yes;
KV2NYH3;Consumption of news by time, sex, age and news media;Which types of news media do you read, watch or listen to?;Yes;
KV2PC2;Use of podcasts by time, sex, age and payment;Do you pay for access to podcasts?;Yes;
KV2SC1;Consumption of performing arts or stage performances by time, sex, age and genre;Which types of performing arts or stage performances have you watched within the past 12 months? Do not consider concerts and music festivals in this context;Yes;
KV2SC2;Consumption of performing arts or stage performances by time, sex, age and access;How do you watch performing arts or stage performances?;Yes;
KV2SM1;Use of social media by time, sex, age and social media;Which social media platforms have you used within the past 12 months?;Yes;
KV2SP2;Use of digital games by time, sex, age and genre;Which types of digital games do you play?;Yes;
KV2SP3;Use of digital games as an e-sport in a club or association by time, age and sex;How often have you played digital games in a club or association as an e-sport within the past 12 months?;Yes;
KV2SP5;Use of digital games by time, sex, age and fellow players;Who do you play with when you play digital games with others?;Yes;
KV2SP8;Use of live digital game events by time, age and sex;Have you attended physical events to watch others play digital games within the past 12 months;NA;
