Danish name;English name;Latin name;Category;speciesKey;taxonKey;ourID;kingdom;phylum;class;order;family;genus;species
Karl Johan;Porcino;Boletus edulis;Fungi;5954958;5954958;OUR001;Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Boletus;Boletus edulis
Brunstokket Rørhat;Bay bolete;Imleria badia;Fungi;7832732;7832732;OUR002;Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Imleria;Imleria badia
Punktstokket Indigo-Rørhat;Scarletina bolete;Boletus luridiformis;Fungi;8208185;5954922;OUR003;Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Neoboletus;Neoboletus luridiformis
Netstokket Indigo-Rørhat;Suillellus luridus;Boletus luridus;Fungi;3355021;7988694;OUR004;Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Suillellus;Suillellus luridus
Almindelig Kantarel;Golden chanterelle;Cantharellus cibarius;Fungi;5249504;5249504;OUR005;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Cantharellus;Cantharellus cibarius
Tragt-Kantarel;Winter chanterelle;Craterellus tubaeformis;Fungi;2554536;2554536;OUR006;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Craterellus;Craterellus tubaeformis
Trompetsvamp;Black chanterelle;Craterellus cornucopioides;Fungi;2554662;2554662;OUR007;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Craterellus;Craterellus cornucopioides
Almindelig Østershat;Oyster mushroom;Pleurotus ostreatus;Fungi;2526530;2526530;OUR008;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus ostreatus
Ramsløg;Wild garlic;Allium ursinum;Herb;2857601;2857601;OUR009;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Allium;Allium ursinum
Løgkarse;Garlic mustard;Alliaria petiolata;Herb;5376075;5376075;OUR010;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Alliaria;Alliaria petiolata
Mælkebøtter;Dandelion;Taraxacum;Herb;11157306;11157306;OUR011;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;Taraxacum
Brændenælder;Common nettle;Urtica dioica;Herb;7960979;7960979;OUR012;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica
Vild kørvel;Cow parsley;Anthriscus sylvestris;Herb;5371742;5371742;OUR013;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Anthriscus sylvestris
Skovsyre;Wood-sorrel;Oxalis acetosella;Herb;8211958;8211958;OUR014;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Oxalidaceae;Oxalis;Oxalis acetosella
Skvalderkål;Ground elder;Aegopodium podagraria;Herb;3034620;3034620;OUR015;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Aegopodium;Aegopodium podagraria
Almindelig bøg;Common beech;Fagus sylvatica;Herb;2882316;2882316;OUR016;Plantae;Tracheophyta;Magnoliopsida;Fagales;Fagaceae;Fagus;Fagus sylvatica
Hybenroser;Beach rose;Rosa rugosa;Flower;3003979;3003979;OUR017;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Rosa rugosa
Tusindfryd;Daisy;Bellis perennis;Flower;3117424;3117424;OUR018;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;Bellis perennis
Brøndkarse;Watercress;Nasturtium officinale;Herb;7701037;7701037;OUR019;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Nasturtium;Nasturtium officinale
Ene;Common juniper;Juniperus communis;Berry;2684709;2684709;OUR020;Plantae;Tracheophyta;Pinopsida;Pinales;Cupressaceae;Juniperus;Juniperus communis
Fuglegræs;Chickweed;Stellaria media;Herb;5384604;5384604;OUR021;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria media
Peberrod;Horseradish;Armoracia rusticana;Root;3041022;3041022;OUR022;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Armoracia;Armoracia rusticana
Almindelig pigsvamp;Sweet tooth;Hydnum repandum;Fungi;2554716;2554716;OUR023;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Hydnum;Hydnum repandum
Vandkarse;Large bitter-cress;Cardamine amara;Herb;3046044;3046044;OUR024;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine amara
Fingertang;Large brown alga;Laminaria digitata;Algae;5422479;5422479;OUR025;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria digitata
Strandbede;Beet;Beta vulgaris;Herb;8971274;8971274;OUR026;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Beta;Beta vulgaris
